,title,content
0,"승무원 스펙, 국내항공사 합격생 정보!",항공사마다 합격된 분들의 스펙을 별도로 공개하지 않기 때문에 아무래도 이런 부분들에 대한 궁금한 점들이 더 많아지는 상황인데요. 그래서 국내항공사 승무원을 합격한 분의 이야기를 토대로 관련 정보를 공유해볼까 합니다. 대한항공 객실승무원 채용공고를 보면 승무원 스펙을 딱히...
1,항공사 지상직 취업후기,오늘은 항공사 지상직 취업후기를 작성해보았습니다. 관광업계로 입사를 희망하시는 분들이 점점 늘어나면서 자연스럽게 경쟁률도 높아지고 있는... 항공사 지상직 취업후기 - 1 아시아나항공 여객운송 / 항공과 전공 저는 대학교를 항공과로 전공을 했기 때문에 항공사 지상직에 대해서는 어느...
2,항공사 지상직 채용과 입사까지 한번에!,저 또한 이번에 단기간 집중해서 제가 꿈꾸는 항공사 지상직 채용되어 입사를 하게 되었어요. 정말 이 직무를 준비하면서 많은 것을 알게 되었고... 항공사 지상직 대해 제가 도전했던 후기와 정보를 공유해 보려고 하는데 앞서 제 말이 전부 정답은 아니고 도전하는 분들에게 간단한 조언이나...
3,항공사 지상직 면접 합격 interview,"저는 오늘 항공사 지상직 채용 합격 인터뷰를 적어보았습니다. 뉴스나 기사를 보면 항공여객은 매년 역대 최고치를 증가하고 있다는 소식을 자주... 원래에도 항공사 지상직에 관심이 많았지만, 앞으로도 더 많은 발전을 앞두고 있는 업계에 빠르게 투입해 같이 성장을 하고 싶었습니다. 항공사..."
4,"베트남다낭여행 준비, 저비용 항공사 다낭항공권 가격","대다수 저비용 항공사 취항 중 워낙 인기 있는 여행지다 보니 대다수의 국내 항공사들이 매일 취항합니다. #제주항공, #이스타항공, #진에어, #티웨이항공, #에어서울, #대한항공, #아시아나항공. 외항사로는 베트남 국적기인 비엣젯항공과 베트남항공이 수시로 운항해요. 경유편은 마카오를..."
5,대한민국 항공사는 어떻게 투톱 체제가 됐나...1988년 아시아나항공의 등장부터...,"이를 저물어가는 양대 항공사 구조를 상징하는 장면처럼 여기는 시각도 적지 않은 듯하다. 항공정책이 빠르게 변하고, 저비용항공사(LCC)의 등장으로 말미암아 시장 상황이 크게 요동치고 있어 양대 항공사 체제를 위협하는 분위기다. 투톱 체제였던 대한항공과 아시아나항공 / 출처 동아닷컴..."
6,출발 도착 시간 가장 안지키는 '느림보 항공사' 어디?,"시간 안지키는 항공사, 면면이다. 시간을 안지킨다는 건, 툭하면 지연되고, 늦어진다는 얘기니, 이 항공사 만큼은 피해야 한다는 것. 결론부터 말씀드린다. 항공은 이스타가 지연율 톱, 공항은 늘 붐비는 제주공항이 지연율 톱을 각각 기록했다. 짜증, '지대로'라는 의미다.   국내선 이스타..."
7,외항사 승무원 3개 항공사 합격후기,"그래서 제가 알아본 외항사 승무원 3개 항공사 합격후기를 적어봤습니다. 제가 적어보는 후기는 우리나라에서도 인지도가 높으며, 채용도 종종... 그때 국내 모 항공사에서 문제가 터졌을 때 그것에 대해서 어떻게 생각하냐고 해서 조금 당황하기도 했습니다. 마지막으로는 Article을 읽어 보고..."
8,항공사지상직 합격자가 말해주는 면접!,"항공사지상직의 개념과 직종별로 다른 특징, 면접에 선호되는 인재상까지 그리고 같은 합격자들의 후기들까지 그대로 남기도록 하겠습니다. 모두 같은 선에서 출발할 때 한 걸음 앞서가자 처음 준비하는 대부분의 학생들은 항공사지상직에 대해 거의 모르지만, 배우러 다니면서 점점 자세히..."
9,대한민국 항공사는 어떻게 투톱 체제가 됐나...1988년 아시아나항공의 등장부터...,"이를 저물어가는 양대 항공사 구조를 상징하는 장면처럼 여기는 시각도 적지 않은 듯하다. 항공정책이 빠르게 변하고, 저비용항공사(LCC)의 등장으로 말미암아 시장 상황이 크게 요동치고 있어 양대 항공사 체제를 위협하는 분위기다. 투톱 체제였던 대한항공과 아시아나항공 / 출처 동아닷컴..."
