,content
0,"대다수 저비용 항공사 취항 중 워낙 인기 있는 여행지다 보니 대다수의 국내 항공사들이 매일 취항합니다. #제주항공, #이스타항공, #진에어, #티웨이항공, #에어서울, #대한항공, #아시아나항공. 외항사로는 베트남 국적기인 비엣젯항공과 베트남항공이 수시로 운항해요. 경유편은 마카오를..."
1,"인천공항 제2여객터미널 항공사 는 어떤 항공사들이 있는지 궁금해 하실분들을 위해 검색해 봤는데요. 일단 가장 대표적인 대한항공!! 그리고 델타항공, 에어프랑스, 알리탈리아 KLM네덜란드항공, 아에로멕시코항공, 중화항공, 가루다인도네시아 항공, 샤먼항공, 체코항공, 아에로플로트 이렇게..."
2,"대다수 저비용 항공사 취항 중 워낙 인기 있는 여행지다 보니 대다수의 국내 항공사들이 매일 취항합니다. #제주항공, #이스타항공, #진에어, #티웨이항공, #에어서울, #대한항공, #아시아나항공. 외항사로는 베트남 국적기인 비엣젯항공과 베트남항공이 수시로 운항해요. 경유편은 마카오를..."
3,"#마일리지, #대한항공, #아시아나, #스카이팀, #스타얼라이언스, #마일리지적립 요즘 저가 항공사 노선이 확대되면서 사실 마일리지 적립이 쉽지 않으나, 나의 마일리지 적립 방법을 소개한다. 국내에서 주로 다닌다면 두 가지 정도만 알면 된다. 대한항공 마일리지 대한항공+스카이팀+제휴항공사..."
4,[여행 빅데이터] 대한 아시아나 이미지 하락에 뜬 항공사 어디? 안녕하세요. 여플(여행+) 장주영 에디터입니다. 지난해 항공업계는 각종 논란으로 시끄러웠습니다. 특히 양대 국적항공사인 대한항공과 아시아나항공이 시련을 겪었죠. 호된 법적 조치와 언론보도에 많은 항공고객이 실망했고...
5,"대한항공 스카이팀 회원사 및 제휴항공사 탑승하고 대한항공 마일리지 적립하기 에어로플로트 (러시아항공), 에어프랑스, 알이탈리아, 중화항공, 동방항공, 델타항공, 가루다인도네시아항공, KLM (네덜란드항공), 베트남항공, 하와이안항공, 남방항공 등을 탈 때 해당 항공사 마일리지프로그램을..."
6,"정시운행률 랭킹   에게안   콴타스   카타르   에어몰타 `최악의 항공사 톱10`에 대한항공 이름 눈에띄네 여행족들이 늘 관심을 가지는 랭킹. 이번에는 최악항공사 랭킹입니다. 마침, 가장 신뢰를 가질 만한 국적기에 대한 랭킹 결과가 나온게 있습니다. 국적기 순위는 각국을..."
7,"스타얼라이언스 및 제휴항공사 이용하고 아시아나항공 마일리지 적립하기 대한항공과 마찬가지로 아시아나항공도 외국 항공사를 이용할 때 아시아나 마일리지를 적립할 수 있습니다. 아시아나항공이 낡은 기재, 많지 않은 노선 등으로 욕도 많이 먹고 대한항공에 비해서 많이 밀린 것이..."
8,"국내 항공사(대한항공, 아시아나)는 취소 수수료 없음 2. 해외 항공사는 모두 제각각(항공사 사이트 직접확인) 해외 항공사 스카이스캐너 앱에서는 당일취소 이후의 환불은 항공사 환불 수수료가 발생한다고 나와있어요. 해당 항공사 홈페이지를 직접 들어가보면... 에미레이트 항공사 Refund fees..."
9,"< 제1여객터미널 운항 항공사 > 아시아나항공, 저가항공사, 기타 제2여객터미널을 이용하지 않는 외국항공사 < 제2여객터미널 운항 항공사 > 대한항공, 델타항공, 에어프랑스, 네덜란드항공, 아에로멕시코, 알이탈리아, 중화항공, 가루다 인도네시아 항공, 샤먼항공, 체코항공, 아에로플로트..."
10,보잉사의 B737 맥스 8이 최근 잇단 추락사고로 전 세계 각국에서 연달아 운항 중단을 결정하고 있는 가운데 해당기종의 도입을 추진 하던 국내 항공사들이 안전 확보 전까지 운항하지 않겠다는 방침을 밝히면서 도입 계획이 없던 항공사간 희비가 엇갈리고 있다. 14일 대한항공과 티웨이항공은...
11,인천~울란바토르 추가 운항권 2월 25일 항공사별 PT 26일 결정 아시아나 vs LCC 대결 구도  황금 노선 으로 불리는 몽골 하늘길을 놓고 국내 7개 항공사가 한판 승부를 벌인다고 합니다. 타깃은 인천~울란바토르(몽골) 노선의 추가 운항권입니다. 대한항공이 30년 가까이 단독으로 운항해온...
12,"외국 항공사 마일리지 어느 항공사에 적립할까? 외국 항공사를 이용하는 경우에 대한항공, 아시아나항공 마일리지가 얼마나 적립되는지를 알아봤습니다. 실제로 고수들의 경우 회원 혜택이 좋은 외국 항공사에 회원가입해서 마일리지를 구입하고 마일리지를 국적기인 대한항공이나..."
13,"한국 항공사에서 보잉사의 ""보잉 737 맥스 8"" 도입 검토중인 곳은 대한항공/티웨이 항공, 제주항공이며, 이미 2018년 12월 ""이스타항공""이 한국 최초 이기종 도입했다. Img BBC Img The Air Current / 이미 문제되고있는 시스템 설명 이미지"
14,"이번 여행에서 이용한 항공사는 아시아나 항공이고 항공편은 인천에서 LA로 가는 직항편이다. 인천공항에서 LA까지는 대략 12시간 정도 걸린다.... 그 동안 싼 항공편을 찾다보니 대한항공이나 아시아나를 이용하지 못했는데, 이번 기회에 이용하게 되면서 자연스레 미국 항공사들과 비교하게 된다. 1...."
15,"( #LCC )저가항공사를 자주 이용하시는 분들은 집중! 해주세요. 첫 번째로 소개해드리는 저만의 꿀팁은 #저가항공 포인트도 쌓고 공항 라운지를... 제주항공 리프레시포인트 신한카드(항공사 마일리지 카드) 예를 들어 (신한카드 기준) 아시아나, 대한항공 등 항공사 제휴카드는 1,000원당 1마일..."
16,"5시간에서 2시간정도 이며, 특히 저 2개의 항공사는 환승하는 이동 동선이나 전반적으로 스트레스를 '덜'받는 공항임을 알려드립니다. 특히 핀에어가 그렇습니다. 그리고 대한항공 마일리지로 인해 [에어프랑스]를 타시고 오시는경우도 있는데, 절대 부모님과 올경우 타지 말아야 할 항공사가 바로..."
17,내년부터 인천공항 제2여객터미널에는 대한항공을 비롯하여 에어프랑스 델타항공 KLM 4항공사가 입주하여 스카이팀 전용 터미널로 이용됩니다.... 인천공항 제2여객터미널에 입주하는 항공사의 경우 이제는 탑승수속부터 세관검사등 모든절차가 기존과 별도로 인천공항 제2여객터미널에서...
18,"# 인천공항 터미널별 이용항공사 안내(2018.10.28.) 1. 인천공항 1터미널 이용항공사 - 아시아나항공, 제주항공, 진에어, 티웨이 - 이스타항공, 에어서울 - 중국동방항공, 중국남방항공 - 캐세이퍼시픽, 필리핀 항공, 타이항공 등 2. 인천공항 2터미널 이용항공사 - 대한항공, 에어프랑스..."
19,"제2여객터미널(T2)은 작년 초 처음 개장했을 때만 해도 대한항공, 델타, 에어프랑스, KLM 등 4개의 항공사만 이용했지만, 지난 10월 말부터 스카이팀 소속 7개 항공사가 추가 이전되어 현재 총 11개의 항공사가 이용하고 있기 때문이다. 작년 매출 성과가..."
20,"고민에 빠진 국적항공사 보잉기 114대를 어쩌나?   에티오피아 항공기 추락사고로 '보잉737-맥스8' 기종의 안전성에 의문이 제기되자 이스타항공이 긴급운항중지를 결정한데 이어 2019년부터 100여대를 도입하려던 국적항공사에 비상이 걸려.   특히, 대한항공과 티웨이, 이스타 등..."
21,"주로, 케세이퍼시픽, 싱가포르항공, 대한항공, 버진오스트레일리아, 콴타스에 타 항공사 이용중. 베트남 출장 가는 날... 예정된 항공편은... 항공사 입장에서는 당연히 최소 비용의 루트 제안하겠죠. (100% 동의) 3-1. 원월드인 콴타스 타고 멜번가서 케세이퍼시픽 이용해서 홍콩 -> 호치민시티..."
22,"안녕하세요 일부항공사가 인천공항 제2터미널로 추가로 이사가면서 1터미널의 항공사체크인카운터 위치가 변경되었습니다. 2019년 2월 기준입니다. 인천공항 제1터미널 항공사체크인카운터 위치! 서쪽끝에 있던 아시아나 항공은 예전에 대한항공이 있던 A,B,C카운터 쪽으로..."
23,"동아시아 항공사들이 이코노미 좌석 넓이에 관대. 단점은 부실한 엔터테인먼트 시스템, 기내식, 라운지, 수화물, 벌크헤드, 비상구 좌석등 상위 티어 회원 혜택. 대한항공 모닝캄 유지하는거 포기할려고 했는데 1월에 타 항공사 대비 저렴해서 결국 대한항공으로 갔구요. 2월부터는..."
