,content
0,"RM때문에 봤는데 전현무 빵터지네   
#BBMAsTopSocial BTS @BTS_twt
[티비냥] BTS 리더 영어담당 RM 당황시킨 항공사 영어면접  | 문제적남자 150326 https://youtu.be/SK9fwG1XqpE  - @YouTube"
1,"모리는 쌍흑을 아낀 나머지 비행기 타도 최소 비즈니스 클래스를 태워주는데 항공사 좋은데는 비즈니스 타면 메뉴판 주니까 그거 처음 받은 츄야가 긴장하는거 보고싶다

다 : 왜그래?
츄: 야..나 돈 없는데
다: 뭔소리야
츄 : 2천엔..내로 기내식 먹을수있냐..?
했다가 다자이 이해하고 빵터짐"
2,오이카와 이와이쥬미 마츠카와 하나마키 킨다이치 쿠니미 다 스튜어드여도 좋을 듯 끈끈한 팀웤을 자랑하는 세이죠 항공사 (^^)
3,"각자 에어팟 이름이 뭐예요?
정국 JK air
호석 호비의 콩나물
지민 지민의 에어팟 건들지마셈
석진 그런게 있어????
윤기 ...나 그런거 안짓는데
        애장품 이름짓는 그런거야? 
아닣         윤기얗      
이름들도 다 웋곃    정국인항공사같고  호비의콩나뭃     pic.twitter.com/XnQs26Fo0b"
4,'비행기에서 불편하게 앉아서 가세요?' 이코노미석에서도 누워서 꿀잠 가능하게 한 항공사
5,"해외여행 가려고 마일리지 카드 만든 핫시
어디 항공사지? pic.twitter.com/pBGKuk3hLJ"
6,"여행가는 길에 만나는 잰추 보고 싶다

둘 다 혼자서 여행가는 길인데 공항 버스 기다리는 정류장에서 겹치고 옆 자리는 아니지만 서로 예뻐서 눈 여겨 보고 있었다가 항공권 받을 때 같은 항공사 인걸 보고 신기하게 겹치네 생각하는 둘 pic.twitter.com/259riTpXNW"
7,"항공사: 자연
기종: 새
레지넘버: N/A
항공편: 날라-가유
루트: GMP->N/A "
8,"요즘 항공사에서 승무원 뽑을 때, 키 보다 이걸 봅니다 
 "
9,"문제적 남자 항공사 영어 면접 씬      
승객이 다른 옆자리 라면 먹는 손님 냄새 때문에 클레임 걸 때 대처 법 보는 건데 현무 님 말이 길어짐. 그때 김지석 님이 한마디 툭 치자 전현무 님 반응    와 센스     남준이 웃겨 죽어 기여워   
#남준 #RM #NAMJOON #BTS #방탄소년단"
10,"https://youtu.be/SK9fwG1XqpE 
와...진짜...엠에스피 생각나서 그만 울컥했죠...배워갑니다...어딜가나 진상손님 매뉴얼이 있구먼     "
11,"이거 완전 그거 아닙니까, 까칠쟁이 도도함의 명대사 항공사 아드님이 항공사 물려받고 경영하는 거 pic.twitter.com/BF5PQ4v2Wt"
12,[항공사직원 맛집추천 1편] 인천공항 제1여객터미널 랜드사이드 식당 https://youtu.be/nTWjFv_qCP8  via @YouTube
13,"국적항공사 베트남항공과 신생항공사 밤부항공.. 사로 파일럿 빼가지 마라, 빼간 적 없다며 신경전을 벌이고 있음. 날로 커지는 항공시장의 단면.. "
14,사실 굯의 오래된 꿈은 공군이었다. 탄탄대로 공군사관학교에 입학해 수석을 달리던 중 어느날 쭉 미끄러지기 시작했다. 그때 잠깐 사겼던 남자와의 소문이 와전되어 걷잡을 수 없이 퍼졌고 망신이라며 치부한 아버지가 그의 진로를 항공사 기장으로 틀어버렸다.
15,굯이 즴과 연애하고 있단 사실을 굯의 부모님은 모르셨다. 다만 과거에 우연히 그가 커밍아웃을 하고부터 취향이 그쪽이란걸 알고는 있었다. 그래서 항공사 이사직이였던 아버지는 불안했다.
16,태민황후마마 너무도 아름다우십니다   여봐라! 태민황후마마께서 납신다!!! 길을터라~ 여봐라 항공사!! 태민황후마마께서 아름다우신몸 곤하시지않게 잘뫼시거라 그리고 1등석은 기본으로 드려야되는거알제? pic.twitter.com/VkebFnRR8n
17,"대한항공 아시아나, 리더십 부재에 고유가 원화약세  3중고 

- 원 달러 환율, 2년 3개월 만에 최고치 국제유가는 올해 들어 45% 상승 
- 리더십 흔들리는 양대 국적항공사 경기둔화 겹쳐 실적  빨간 불  (조선비즈) 
https://n.news.naver.com/article/366/0000432836   pic.twitter.com/eE91EuXFrZ"
18,항공사는 제외해야겠고 비행기 번호가 '007'같이 붙은 걸로
19,자꾸 항공사 사이트만 들락날락하잖아  몸 갈면 못 갈 것도 없긴한데 지구 반대쪽도 아니고.... 그치만 못 가.... 못 가..... 못 가.......... (엎어짐) pic.twitter.com/DES3hou6hU
20,"이번 미쿡행사에 협찬한 항공사가 있어서 아마도 그 항공사로 올텐데
울 떵웅이 출연진중 거의 아가라 먼저가고 늦게 오는듯  좋지 뭐 촉박한것보다 느긋하게 좋은시간 보내는거 완전 땡큐"
21,"영앤리치 항공사 대표랑 놀 사람없니-?
대표님 심심해. 빨간거 누르고 가. "
22,"[평화경제 강원 비전 전략보고회]
-강원도 평화경제 핵심축은 평화관광, 누구나 찾아오고 싶은 지역으로 만들겠다. 금강산관광 조속한 재개 위해 계속 노력하겠다.
-DMZ '평화의 길',민간항공사 '플라이 강원', 동해북부선, 크루즈등 강원도의 땅길과 하늘과 바닷길 통해 평화경제시대 활짝 열릴것이다 pic.twitter.com/XR5CLxfyBf"
23,전세기 직항 상품에 대한 설명이 진행되었습니다. 라트비아의 리가국제공항은 한국으로부터 가장 가까운 EU 공항들중 하나로 한국 항공사들에 있어 유망한 시장으로 각광받고 있다고 설명하였습니다. pic.twitter.com/Vqsjb3mPhj
